Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Dr. Ranjan Pai,34.86,2,2018-01-14,"Technology, Consumer Internet","Private Equity, Seed",Bangalore,0.75,1.5,2018-01-14
Letsventure And Arihant Patni,34.86,1,2022-08-06,Edtech,Seed,Bangalore,1.0,1.0,2022-08-06
Marquee Angels,34.86,1,2021-09-26,Fintech,Seed,Bangalore,0.25,4.0,2021-09-26
And Pravega Ventures,34.86,1,2018-08-01,Fintech,Private Equity,Bangalore,0.25,4.0,2018-08-01
Aditya Agarwal,34.86,2,2021-09-15,"Technology, Food","Private Equity, Seed",Bangalore,0.2,5.5,2021-09-15
Stellaris Venture Partners And Mayur Abhaya Srisrimal,34.86,1,2018-05-22,Healthcare,Private Equity,Bangalore,0.5,2.0,2018-05-22
Soma Capital,34.86,3,2022-02-08,"Fintech, Consumer Internet","Seed, Private Equity","Mumbai, Gurgaon",0.34,3.33,2022-02-08
Hdfc,34.86,1,2016-10-09,"Sports Education, Technology",Private Equity,Mumbai,0.29,3.5,2016-10-09
Elevate Sports,34.86,1,2016-10-09,"Sports Education, Technology",Private Equity,Mumbai,0.29,3.5,2016-10-09
Faad Network,34.86,3,2024-12-17,"Marketing, Sustainable Investment, Hospitality","Unknown, Other, Pre-Series A","Gurgaon, Mumbai",0.31,4.0,2024-12-17
Sahil Barua,34.86,2,2021-12-02,"Retail, Online Food Ordering & Delivery","Series A, Seed","Kolkata, Gurgaon",0.38,3.0,2021-12-02
Maunknownn Maheshwari,34.86,1,2020-10-10,Content,Series A,Mumbai,0.5,2.0,2020-10-10
Peak Xv (Surge),34.86,1,2025-09-01,Ai,Pre-Series A,Bangalore,1.0,1.0,2025-09-01
Indus Way Emerging Market Fund,34.6,1,2025-02-11,D2C Wellness,Other,Mumbai,0.5,2.0,2025-02-11
Gsf,34.2,4,2025-10-11,"Other, Traveltech, Ai","Seed, Unknown","Nan, Delhi, Gurgaon",0.42,3.2,2025-10-11
Indian Angel Network And Rahul Suraunknown,34.11,1,2022-09-24,Food,Seed,Mumbai,1.0,1.0,2022-09-24
Amit Lakhotia,34.03,3,2025-06-20,"Ai, Fintech, Edtech","Unknown, Seed","Gurgaon, Delhi, Bangalore",0.37,4.33,2025-06-20
Enetra India,34.03,1,2025-09-06,Travel,Pre-Series A,Delhi,1.0,1.0,2025-09-06
Deutsche Telekom Strategic Investments,34.03,1,2017-01-03,Technology,Private Equity,Mumbai,0.5,2.0,2017-01-03
Bizdateup,33.9,4,2024-12-17,"Electric Vehicles, Pharmaceutical Packaging, Ev","Seed, Ipo, Pre-Series A","Delhi, Chennai",0.83,1.5,2024-12-17
Advent Maunknowngement,33.61,1,2020-03-28,Food,Unknown,Bangalore,0.33,3.0,2020-03-28
Trifecta Venture,33.61,1,2020-03-28,Food,Unknown,Bangalore,0.33,3.0,2020-03-28
Ia,33.5,1,2024-08-01,Real Estate,Series A,Noida,0.25,4.0,2024-08-01
Veeunknown Jindal,33.5,1,2024-08-01,Real Estate,Series A,Noida,0.25,4.0,2024-08-01
Rb Investments Pte. Ltd,33.45,2,2020-11-20,"Hospitality, Cosmetics","Series B, Unknown, Debt","Gurgaon, Mumbai",0.5,2.0,2020-11-20
Rb Interunknowntiounknownl,33.2,1,2017-06-09,Consumer Internet,Private Equity,Noida,0.5,2.0,2017-06-09
Apoorva Mehta,33.2,1,2022-02-12,Marketing & Advertising,Pre-Series A,Bangalore,0.5,2.0,2022-02-12
M2P Fintech,33.2,1,2021-09-16,Fintech,Unknown,Mumbai,1.0,1.0,2021-09-16
Race Capital,33.2,1,2025-05-16,Enterprise Ai Security And Governance,Seed,Pune,1.0,1.0,2025-05-16
American Express Ventures,33.2,1,2016-12-26,Consumer Internet,Private Equity,Delhi,0.25,4.0,2016-12-26
Dewan Housing Fiunknownnce Corp,33.2,1,2017-05-22,Consumer Internet,Private Equity,Pune,0.5,2.0,2017-05-22
Magnus Capital,33.2,2,2022-02-13,"Crypto, Sports",Seed,"Mumbai, Noida",0.23,4.5,2022-02-13
Rajan Bajaj,33.2,1,2022-02-12,Fintech,Unknown,Mumbai,0.5,2.0,2022-02-12
Kimera Ltd,33.2,1,2020-06-16,Edtech,Unknown,Nan,1.0,1.0,2020-06-16
Siddhiviunknownyak Skyscrapers,33.2,1,2016-02-16,Ecommerce,Private Equity,Pune,0.33,3.0,2016-02-16
Incofin’S India Progress Fund,33.2,1,2021-09-17,Retail,Series A,Mumbai,1.0,1.0,2021-09-17
. Kuunknownl Shah And Orios Venture Partners,33.2,1,2022-12-19,Agtech,Seed,Delhi,1.0,1.0,2022-12-19
Awign Enterprises,33.2,1,2021-01-18,Fintech,Unknown,Mumbai,1.0,1.0,2021-01-18
Idg Ventures India Advisors,33.2,1,2017-07-16,Technology,Private Equity,Pune,0.5,2.0,2017-07-16
Ultrahuman Founders,33.2,1,2024-09-23,Dating,Other,Nan,0.25,4.0,2024-09-23
The Souled Store Founders,33.2,1,2024-09-23,Dating,Other,Nan,0.25,4.0,2024-09-23
Dinesh R. Challa,33.2,1,2016-02-16,Ecommerce,Private Equity,Pune,0.33,3.0,2016-02-16
Paytm Founders,33.2,1,2024-09-23,Dating,Other,Nan,0.25,4.0,2024-09-23
Roundglass Partners,33.2,3,2016-12-07,"Consumer Internet, Corporate Wellness",Private Equity,"Gurgaon, Bangalore",1.0,1.0,2016-12-07
Srinivas Anumolu,33.2,1,2021-03-19,Automotive,Series A,Delhi,0.5,2.0,2021-03-19
Cyber Carrier Vc,33.2,1,2016-12-26,Consumer Internet,Private Equity,Delhi,0.25,4.0,2016-12-26
Rainmatter Foundation (Nithin Kamath),33.2,1,2024-12-09,Edtech,Seed,Delhi,0.5,2.0,2024-12-09
Rogue One Capital,33.2,1,2020-01-19,B2B,Series A,Mumbai,0.33,3.0,2020-01-19
Singularity Ventures And Ravi Dhariwal,33.2,1,2017-04-23,Ecommerce,Private Equity,Delhi,0.5,2.0,2017-04-23
Golden Birch Investments,33.2,1,2020-12-03,Ecommerce,Other,Noida,0.5,2.0,2020-12-03
Neelesh Bhatunknowngar,33.2,1,2017-01-06,Consumer Internet,Private Equity,Bangalore,0.5,2.0,2017-01-06
Oasis Fertility,33.2,1,2022-08-15,Fintech,Unknown,Mumbai,1.0,1.0,2022-08-15
Gmo Japan,33.2,1,2017-01-06,Consumer Internet,Private Equity,Bangalore,0.5,2.0,2017-01-06
Lenskart Vision Fund,33.2,1,2021-12-23,Computer Software,Pre-Series A,Bangalore,0.5,2.0,2021-12-23
Force Ventures,33.2,1,2024-08-02,Fintech,Series A,Delhi,0.14,7.0,2024-08-02
Punit Balan,33.2,1,2021-08-12,Sportstech,"Unknown, Pre-Series A",Mumbai,1.0,1.0,2021-08-12
Zomato’S Deepinder Goyal,33.2,1,2024-12-09,Edtech,Seed,Delhi,0.5,2.0,2024-12-09
Ratio Ventures,33.2,1,2024-08-02,Fintech,Series A,Delhi,0.14,7.0,2024-08-02
V Lakshmi Narayaunknownn,33.2,1,2020-08-15,"Battery Design, Battery Manufacturer",Unknown,"Dehradun, Chennai",0.5,2.0,2020-08-15
Xentel Investments,33.2,1,2021-07-24,Healthcare,Seed,Mumbai,1.0,1.0,2021-07-24
Fosun Rz,33.2,1,2020-03-22,Social Ecommerce,Pre-Series A,Bangalore,0.5,2.0,2020-03-22
Caspian,33.2,2,2020-12-27,"Cleantech, Fintech","Series A, Unknown","Bangalore, Delhi",0.5,2.0,2020-12-27
Menterra Venture Advisors,33.2,2,2020-11-09,"Agritech, Edtech","Pre-Series A, Bridge","Bangalore, Gurgaon",0.5,2.0,2020-11-09
3One4 Capital Advisors Llp,33.2,1,2017-06-01,Technology,Private Equity,Hyderabad,0.25,4.0,2017-06-01
Startupxseed Ventures Llp,33.2,1,2017-06-01,Technology,Private Equity,Hyderabad,0.25,4.0,2017-06-01
Menlo Park,33.2,1,2020-04-06,Food,Unknown,Mumbai,0.5,2.0,2020-04-06
Arkam Ventures / 3One4 Capital,33.2,1,2025-10-22,Enterprise Applications > Customer Success Management,Seed,Nan,1.0,1.0,2025-10-22
Sai Kumar,33.2,1,2022-02-28,Computer Software,Pre-Series A,Bangalore,0.5,2.0,2022-02-28
Yatra Angel Network,33.2,1,2021-01-20,Fintech,Series A,Pune,0.5,2.0,2021-01-20
Sanjay Singhania,33.2,1,2022-02-28,Computer Software,Pre-Series A,Bangalore,0.5,2.0,2022-02-28
Orios Venture Partners And The Ian Fund,33.2,1,2018-08-04,Consumer Internet,Other,Chennai,0.5,2.0,2018-08-04
Kayenne Ventures,33.2,1,2021-03-07,Fintech,Unknown,Mumbai,0.5,2.0,2021-03-07
Draper Fisher Jurvetson,33.2,1,2015-08-25,Crosschannel Crm,Private Equity,Mumbai,0.2,5.0,2015-08-25
And Mas Fiunknownncial Services Ltd,33.2,1,2017-06-18,Consumer Internet,Private Equity,Mumbai,0.25,4.0,2017-06-18
Rishi Kajaria,33.2,1,2021-10-14,Fintech,Pre-Series A,Delhi,0.5,2.0,2021-10-14
Mufin Green Fiunknownnce,33.2,1,2025-06-07,Travel,Debt,Delhi,1.0,1.0,2025-06-07
Diageo India,33.2,1,2018-06-27,Consumer Internet,Private Equity,Bangalore,1.0,1.0,2018-06-27
Eagle10,33.2,1,2020-01-15,Other,Series A,Bangalore,0.25,4.0,2020-01-15
Wipro Ventures,33.2,1,2016-02-11,Technology,Private Equity,Pune,0.5,2.0,2016-02-11
Shrishti Sahu,33.2,1,2021-12-26,Edtech,Pre-Seed,Gurgaon,0.5,2.0,2021-12-26
L’Oréal’S Bold Ventures,33.2,1,2024-12-11,D2C Haircare,Series A,Delhi,0.33,3.0,2024-12-11
Vijay Taparia,33.2,1,2025-07-04,Healthcare,Seed,Mumbai,0.33,3.0,2025-07-04
Unknown Us Based Investors,33.2,1,2016-01-27,Ecommerce,Private Equity,Delhi,1.0,1.0,2016-01-27
Umang Vohra,33.2,1,2021-12-26,Edtech,Pre-Seed,Gurgaon,0.5,2.0,2021-12-26
Dmi Fiunknownnce,33.2,1,2018-01-02,Fintech,Private Equity,Chennai,1.0,1.0,2018-01-02
Angelprime,33.2,3,2015-06-20,"Usiness Expense Management, Other, Video Advertisement","Seed, Other","Bangalore, Nan",1.0,1.0,2015-06-20
\\Xc2\\Xa0 Lumis Partners,33.2,1,2016-02-11,Technology,Private Equity,Pune,0.5,2.0,2016-02-11
Skywalker Family Office,33.2,1,2024-12-11,D2C Haircare,Series A,Delhi,0.33,3.0,2024-12-11
Ame Cloud Ventures,33.2,1,2021-11-21,Fintech,Seed,Gurgaon,0.33,3.0,2021-11-21
Ifmr,33.2,1,2017-06-18,Consumer Internet,Private Equity,Mumbai,0.25,4.0,2017-06-18
Credence Family Office,33.2,1,2018-10-01,Real Estate,Pre-Series A,Delhi,1.0,1.0,2018-10-01
Telkom Indonesia,33.2,1,2018-07-26,It,Private Equity,Pune,0.5,2.0,2018-07-26
Mdi Ventures,33.2,1,2018-07-26,It,Private Equity,Pune,0.5,2.0,2018-07-26
Family Office,32.45,2,2024-09-07,"Quick Restaurants, Womens Health & Wellness","Series A, Seed","Mumbai, Nan",0.6,3.0,2024-09-07
Fidelity Maunknowngement And Research Company And Alia Bhatt,32.4,1,2022-04-13,Beautyfashion,Unknown,Mumbai,1.0,1.0,2022-04-13
Abhishek Kothari And Ramaunknownthan Rv,32.37,1,2022-06-10,Fintech,Pre-Seed,Bangalore,1.0,1.0,2022-06-10
V Cube Ventures,32.0,1,2024-09-25,Backpacker Hostel,Series A,Mumbai,0.25,4.0,2024-09-25
Angelist,32.0,1,2024-09-25,Backpacker Hostel,Series A,Mumbai,0.25,4.0,2024-09-25
Lead Angels,31.94,5,2021-08-18,"Edtech, Ondemand Beauty, Consumer Goods","Seed, Unknown, Pre-Seed","Mumbai, Gurgaon, Bangalore",0.3,3.6,2021-08-18
Sauce Vc,31.6,4,2025-04-28,"Retail, Ecommerce, Teen Selfcare",Seed,"Gurgaon, Delhi, Mumbai",0.62,2.75,2025-04-28
Hinduja Leyland Fiunknownnce,31.54,1,2018-02-02,Fintech,Private Equity,Gurgaon,0.5,2.0,2018-02-02
Jones Lang Lasalle,31.54,1,2017-12-09,Technology,Private Equity,Hyderabad,1.0,1.0,2017-12-09
Arrowroot Capital,31.54,1,2021-02-13,Fintech,Unknown,Mumbai,0.5,2.0,2021-02-13
Capital One,31.54,1,2021-02-13,Fintech,Unknown,Mumbai,0.5,2.0,2021-02-13
Walden Skt Venture Fund,31.54,1,2020-04-01,Fintech,Series D,Chennai,0.33,3.0,2020-04-01
Intellegrow,31.54,1,2018-02-02,Fintech,Private Equity,Gurgaon,0.5,2.0,2018-02-02
Chiratae Ventures And Piyush Shah,31.54,1,2022-10-28,Edtech,Seed,Mumbai,1.0,1.0,2022-10-28
Zishaan Hayath,31.21,5,2016-07-08,"Ecommerce, Other, Ondemand Delivery Logistics","Seed, Private Equity","Mumbai, Nan, Delhi",0.29,4.2,2016-07-08
Russian Venture Capital Fund Ruunknownnet,31.12,1,2016-10-14,Consumer Internet,Private Equity,Mumbai,0.2,5.0,2016-10-14
Rajesh Raunknownvat,31.12,2,2020-01-03,"Jewellery, Technology","Pre-Series A, Private Equity","Mumbai, Bangalore",0.62,2.5,2020-01-03
Jito Incubation,31.0,2,2025-02-27,"Loyalty & Rewards Saas, D2C Health Foods","Seed, Growth","Gurgaon, Mumbai",0.21,5.0,2025-02-27
Catamarann Ventures,30.71,1,2020-07-13,Food,Unknown,Gurgaon,0.25,4.0,2020-07-13
Stanford Angels,30.71,4,2020-07-02,"Ecommerce, Data Intelligence, Digital Analytics","Seed, Private Equity","Noida, Gurgaon, Delhi",0.28,3.75,2020-07-02
Aunknownnda Kallugadde,30.71,2,2017-10-09,Ecommerce,Private Equity,"Vadodara, Bangalore",0.2,5.5,2017-10-09
Sci Growth Investment Ii,30.71,1,2020-07-13,Food,Unknown,Gurgaon,0.25,4.0,2020-07-13
Singaporeunknownbased Family Office,30.71,1,2024-11-04,Fintech,Other,Delhi,0.5,2.0,2024-11-04
Vispi Daver,30.63,1,2017-04-13,Technology,Private Equity,Bangalore,0.14,7.0,2017-04-13
Rakesh And Rajesh Jhunjhunwala,30.46,1,2017-03-04,Technology,Private Equity,Mumbai,0.5,2.0,2017-03-04
Draper Associates,30.3,1,2017-03-27,Consumer Internet,Private Equity,Bangalore,0.2,5.0,2017-03-27
Unknown Hnis,30.25,5,2016-08-19,"Consumer Internet, Ecommerce, Online Grocery","Seed, Private Equity","Delhi, Bangalore, Pune",1.0,1.0,2016-08-19
Shell Foundation,30.2,2,2021-01-19,"Solar, Agritech","Pre-Series A, Unknown","Delhi, Nairobi",0.55,5.5,2021-01-19
Indian Angel Network (Ian),30.05,3,2022-03-07,"International Trade & Development, Consumer Internet, Technology","Private Equity, Seed","Delhi, Chennai",0.36,3.0,2022-03-07
Manish Choksi Family Office,30.0,1,2024-11-15,Baby & Mothercare,Series A,Mumbai,0.5,2.0,2024-11-15
Chimes Group,30.0,1,2024-11-22,Beer,Series A,Delhi,0.2,5.0,2024-11-22
Saama Capital And V3 Ventures,30.0,1,2025-03-27,Ice Cream,Series A,Mumbai,0.5,2.0,2025-03-27
Client Associates Alterunknownte Fund (Caaf),30.0,1,2025-01-25,D2C Food,Series A,Gurgaon,0.5,2.0,2025-01-25
Richa Choksi,30.0,1,2024-11-15,Baby & Mothercare,Series A,Mumbai,0.5,2.0,2024-11-15
Acquired A 0.32% Stake By Go Digit (Insurtech Unknown Investments),30.0,1,2025-02-24,Pharmaceutical,Strategic Investment,Hyderabad,1.0,1.0,2025-02-24
Physis Capital,29.9,2,2024-11-15,"Manufacturing, Admissions As A","Pre-Series A, Unspecified Round","Delhi, Gurgaon",0.67,2.0,2024-11-15
Sunder Nookala,29.88,2,2021-05-06,"Saas, Fintech","Pre-Seed, Seed","Bangalore, Gurgaon",0.5,2.0,2021-05-06
Omidyar Network India And Ankur Capital,29.88,1,2022-09-05,Construction,Seed,Bangalore,1.0,1.0,2022-09-05
Tremis Capital And 1Crowd,29.88,1,2022-06-03,Information&Technology,Seed,Bangalore,1.0,1.0,2022-06-03
Songhyun Investment,29.88,1,2016-12-28,Consumer Internet,Private Equity,Delhi,1.0,1.0,2016-12-28
Pitchright Venture,29.88,2,2020-01-16,"Edtech, Nanotechnology","Pre-Series A, Series A","Mumbai, Delhi",0.38,3.0,2020-01-16
Kumar Vembu,29.88,1,2017-11-08,Technology,Private Equity,Bangalore,0.5,2.0,2017-11-08
Khattar Holdings,29.88,1,2017-04-21,Consumer Internet,Private Equity,Mumbai,0.5,2.0,2017-04-21
Lets Venture,29.88,2,2024-10-10,"Ai, Maritime",Pre-Series A,"Delhi, Chennai",0.27,4.0,2024-10-10
Hornbill Orchid India Fund,29.81,1,2019-04-05,Social Media,Series B,Delhi,0.2,5.0,2019-04-05
Lasmer Nv,29.81,1,2019-04-05,Social Media,Series B,Delhi,0.2,5.0,2019-04-05
Orchid India,29.81,1,2019-04-05,Social Media,Series B,Delhi,0.2,5.0,2019-04-05
Chiratae Ventures (Formerly Idg Ventures),29.81,1,2019-04-05,Social Media,Series B,Delhi,0.2,5.0,2019-04-05
Mitesh Shah,29.6,4,2025-02-11,"Ai, Fintech, Healthcare","Seed, Unknown, Private Equity","Kolkata, Bangalore, Mumbai",0.29,4.5,2025-02-11
Startupxseed Ventures,29.59,3,2021-10-02,"Saas, Technology, Computer Software","Pre-Series A, Seed","Bangalore, Mumbai",0.55,3.33,2021-10-02
Iseed,29.06,5,2024-12-13,"Fintech, Gaming, Saas","Pre-Seed, Seed, Angel","Bangalore, Mumbai, Gurgaon",0.3,3.6,2024-12-13
Acko Technology,29.05,1,2021-04-09,Automotive,Other,Bangalore,0.33,3.0,2021-04-09
Nitin Passi,29.05,2,2021-06-28,"Ecommerce, Consumer Internet","Unknown, Seed","Delhi, Gurgaon",0.35,3.5,2021-06-28
Services,29.05,1,2021-04-09,Automotive,Other,Bangalore,0.33,3.0,2021-04-09
Micelio Tech Fund,29.05,1,2025-06-12,Green Sme Loans,Seed,Nan,0.5,2.0,2025-06-12
Brian Acton,29.05,1,2016-07-02,Technology,Private Equity,Gurgaon,1.0,1.0,2016-07-02
Sauce.Vc And Dsg Consumer Partners,29.05,1,2022-08-05,Fashion,Unknown,Surat,1.0,1.0,2022-08-05
Peak Xv Partner’S Accelerator Program Surge,29.05,1,2024-09-25,Food,Seed,Mumbai,1.0,1.0,2024-09-25
Space Matrix,29.05,1,2018-12-22,Saas,Series A,Gurgaon,0.25,4.0,2018-12-22
Imef,29.05,1,2022-01-16,Edtech,Unknown,Mumbai,0.5,2.0,2022-01-16
Tim Draper,29.05,1,2020-02-01,Accomodation,Unknown,Bangalore,1.0,1.0,2020-02-01
Lemelson Foundation,29.05,1,2016-01-21,Fintech,Private Equity,Chennai,0.5,2.0,2016-01-21
Dhruv Vohra,29.05,1,2024-11-19,Aipowered Customer Os For Ecommerce,Pre-Series A,Bangalore,0.17,6.0,2024-11-19
Singaporeunknownbased Wavemaker,29.05,1,2022-01-08,Hospital & Health Care,Pre-Series A,Delhi,0.33,3.0,2022-01-08
Mount Judi Ventures,29.05,2,2021-03-18,"Healthcare, Medtech",Pre-Series A,Bangalore,0.67,2.0,2021-03-18
Amrac Investment Trust,29.05,1,2021-08-18,Tobacco,Unknown,Delhi,1.0,1.0,2021-08-18
Aakash Aunknownnd,29.05,1,2024-11-19,Aipowered Customer Os For Ecommerce,Pre-Series A,Bangalore,0.17,6.0,2024-11-19
Info Edge Venture Fund,29.05,1,2020-02-14,Media,Unknown,Mumbai,1.0,1.0,2020-02-14
Village Capital And Aspen Network Of Development Entrepreneurs,29.05,1,2022-06-11,Edtech,Unknown,Lucknow,1.0,1.0,2022-06-11
. Anicut Capital And Nithin Kamath,29.05,1,2022-12-13,Sattelite Connection,Seed,Chennai,1.0,1.0,2022-12-13
Mirae Asset Global Investments And Msa Novo,29.0,1,2022-04-06,Information Technology,Unknown,Bangalore,1.0,1.0,2022-04-06
Hashed,28.9,2,2022-03-18,"Social Audio, Entertainment","Seed, Series A",Bangalore,1.0,1.0,2022-03-18
Rainmatter Capital,28.81,2,2024-09-11,"Fintech, Nutrition","Unknown, Unspecified Round","Bangalore, Mumbai",1.0,1.0,2024-09-11
Utsav Somani,28.8,3,2025-07-14,"Media, Ai, Fmcg",Seed,"Mumbai, Bangalore",0.47,3.67,2025-07-14
Venture Works,28.63,2,2017-02-23,"Consumer Internet, Ecommerce","Seed, Private Equity","Mumbai, Gurgaon",0.29,3.5,2017-02-23
Metaform Ventures,28.52,2,2021-04-14,"Healthcare, Technology","Pre-Series A, Other","Mumbai, Bangalore",0.42,2.5,2021-04-14
All In Capital,28.48,5,2025-06-28,"Enterprise, D2C Lingerie & Shapewear, Healthcare","Pre-Seed, Seed, Unspecified Round","Jaipur, Surat, Noida",0.31,3.6,2025-06-28
Enzia Ventures,28.3,4,2021-10-11,"Edtech, Healthcare, Community","Seed, Unknown, Pre-Series A","Gurgaon, Bangalore",0.46,2.25,2021-10-11
Green Shots Capital,28.25,3,2020-01-22,Healthcare,"Private Equity, Pre-Series A","Delhi, Gurgaon",0.18,6.0,2020-01-22
Equentis Angel Fund,28.22,1,2025-07-10,Enterprise,Series A,Mumbai,1.0,1.0,2025-07-10
Stellaris Venture Partners And Kalaari Capital,28.22,1,2018-11-04,Fintech,Series A,Mumbai,0.25,4.0,2018-11-04
Finfirst,28.22,1,2025-01-16,Medical Equipment Procurement,Series A,Gurgaon,0.17,6.0,2025-01-16
Rajan Aunknownndan From Google,28.22,1,2018-11-04,Fintech,Series A,Mumbai,0.25,4.0,2018-11-04
Sequoia Capital India And Waveform Ventures,28.22,1,2022-10-04,Wellness,Seed,Gurgaon,1.0,1.0,2022-10-04
Dilip Khandwelwal From Sap Labs India,28.22,1,2018-11-04,Fintech,Series A,Mumbai,0.25,4.0,2018-11-04
Beenext And Radiant Sfo,28.22,1,2022-08-06,Information&Technology,Seed,Bangalore,1.0,1.0,2022-08-06
Logx,28.22,1,2025-01-16,Medical Equipment Procurement,Series A,Gurgaon,0.17,6.0,2025-01-16
Lightbox. Social Capital,28.22,1,2020-01-21,Other,Unknown,Nan,0.5,2.0,2020-01-21
Seeds Capital,28.22,1,2020-01-01,Technology,Other,Nan,0.5,2.0,2020-01-01
Dunce Capital,28.22,1,2020-01-21,Other,Unknown,Nan,0.5,2.0,2020-01-21
And Amrish Rau From Payu India,28.22,1,2018-11-04,Fintech,Series A,Mumbai,0.25,4.0,2018-11-04
Magnifiq Capital Trust,28.05,1,2025-10-28,Consumer > Auto Ecommerce & Content,Series A,Nan,1.0,1.0,2025-10-28
Pointone Capital,27.81,3,2025-02-22,"Cybersecurity, Taas, Escrow","Unspecified Round, Seed, Unknown",Delhi,0.4,3.0,2025-02-22
Florintree,27.8,1,2017-03-21,Ecommerce,Private Equity,Hyderabad,0.25,4.0,2017-03-21
Bharat Sheth,27.8,1,2017-03-21,Ecommerce,Private Equity,Hyderabad,0.25,4.0,2017-03-21
Chidambaram Palaniappan,27.8,1,2017-03-21,Ecommerce,Private Equity,Hyderabad,0.25,4.0,2017-03-21
Paradigm Shift Capital,27.56,3,2024-09-18,"Networking, Renewables & Environment, Ai","Pre-Seed, Unknown","Delhi, Mumbai, Bangalore",0.36,3.0,2024-09-18
Singapore Family Office,27.39,1,2025-02-20,Workplace Saas Ai,Seed,Indore,0.17,6.0,2025-02-20
Orbit,27.39,1,2025-02-20,Workplace Saas Ai,Seed,Indore,0.17,6.0,2025-02-20
Smc Advisors,27.39,1,2021-11-13,Hr,Pre-Series A,Gurgaon,0.2,5.0,2021-11-13
Blume Venture,27.39,1,2025-10-07,Retail > Mom & Baby Care,Seed,Nan,1.0,1.0,2025-10-07
Lit Fund,27.39,1,2025-02-20,Workplace Saas Ai,Seed,Indore,0.17,6.0,2025-02-20
Letsventure And Founder'S Room Capital,27.39,1,2022-05-27,Automotive,Unknown,Gurgaon,1.0,1.0,2022-05-27
Vijay Pravin Maharajan And Tanmai Gopal,27.39,1,2022-05-06,Internet,Seed,Nan,1.0,1.0,2022-05-06
Founders,27.39,1,2025-02-20,Workplace Saas Ai,Seed,Indore,0.17,6.0,2025-02-20
Piper Serica Angel Fund,27.39,3,2025-02-11,"Spacetech Satellite Communications, Shopfloor Hyperautomation, Fintech","Other, Pre-Series A, Pre-Seed","Bangalore, Noida",1.0,1.0,2025-02-11
Dholakia Ventures,27.22,2,2022-03-16,"Food, Fintech","Seed, Pre-Series A","Surat, Bangalore",0.62,2.5,2022-03-16
Gulf Islamic Investments (Gii),27.0,1,2024-10-23,Footwear,Unspecified Round,Delhi,1.0,1.0,2024-10-23
Mekin Maheshwari,26.98,4,2025-06-20,"Ai, Consumer Internet, Ecommerce","Seed, Unknown, Private Equity","Bangalore, Gurgaon, Pune",0.26,5.25,2025-06-20
Aunknownnd Chandrasekaran,26.98,2,2016-08-27,Technology,"Private Equity, Seed","Bangalore, Pune",0.21,5.0,2016-08-27
Aprameya Radhakrishunknown,26.87,6,2024-11-12,"Consumer Internet, Online Dispute Resolution, Online Counselling And Psychological Support","Seed, Pre-Series A, Private Equity","Bangalore, Gwalior",0.21,5.5,2024-11-12
Curefit,26.82,2,2025-07-12,"Consumer, Healthcare","Pre-Seed, Private Equity",Bangalore,1.0,1.0,2025-07-12
Chenunknowni Angels,26.81,4,2017-09-14,"Ecommerce, Technology, Cricket Management Mobile Game","Seed, Private Equity","Noida, Chennai, Hyderabad",0.41,4.25,2017-09-14
Bcip Venture Associates,26.78,1,2020-05-23,Rental,Unknown,Bangalore,0.2,5.0,2020-05-23
Growx,26.67,2,2025-02-07,"Ecommerce, Secured Lending","Private Equity, Pre-Seed","Mumbai, Bangalore",0.17,6.0,2025-02-07
Avcf,26.56,1,2025-09-27,Advanced Hardware & Technology,Pre-Seed,Hyderabad,1.0,1.0,2025-09-27
Gmjp,26.56,1,2025-02-28,Webtoon & Comics Mediatech,Seed,Bangalore,0.2,5.0,2025-02-28
Founder'S Room Circle,26.56,1,2021-10-15,Fintech,Pre-Series A,Bangalore,0.33,3.0,2021-10-15
Graphic India,26.56,1,2025-02-28,Webtoon & Comics Mediatech,Seed,Bangalore,0.2,5.0,2025-02-28
Holtzbrinck Publishing Group,26.56,1,2025-02-28,Webtoon & Comics Mediatech,Seed,Bangalore,0.2,5.0,2025-02-28
Tunknownaccelerate,26.56,1,2025-02-28,Webtoon & Comics Mediatech,Seed,Bangalore,0.2,5.0,2025-02-28
Wgg Interunknowntiounknownl,26.56,1,2017-04-14,Consumer Internet,Private Equity,Mumbai,1.0,1.0,2017-04-14
Deepika Padukone,26.56,1,2020-11-14,Edtech,Seed,Bangalore,0.33,3.0,2020-11-14
Trifecta Capital Advisors Llp,26.56,1,2017-05-04,Technology,Private Equity,Bangalore,0.14,7.0,2017-05-04
Anil Jain,26.56,1,2017-02-01,Consumer Internet,Private Equity,Chennai,0.5,2.0,2017-02-01
Pentathlon Ventures,26.56,3,2021-12-09,"Computer Software, Edtech, Recruitment","Seed, Pre-Series A","Pune, Gurgaon, Hyderabad",0.58,2.33,2021-12-09
Prathithi Investment Trust,26.56,1,2017-05-04,Technology,Private Equity,Bangalore,0.14,7.0,2017-05-04
Blacksoil Capital Pvt. Ltd,26.56,2,2017-07-01,"Ecommerce, Consumer Internet",Private Equity,Bangalore,1.0,1.0,2017-07-01
Ruchi Sanghvi,26.56,1,2017-05-04,Technology,Private Equity,Bangalore,0.14,7.0,2017-05-04
Globevestor,26.55,4,2020-07-26,"Technology, Food, Consumer Internet",Seed,"Mumbai, Delhi, Bangalore",0.39,4.25,2020-07-26
